sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
768,171,42,243.2585655637,479.0786827552,188.8100646674,99.3113439708,14911.4112658979,29803.1015971832,11095.8506994910,6129.3447726960,203.6312631684,12611.2877463849,1
2695,86,63,146.4483044347,227.3923220681,172.3867116380,54.2107100416,8546.6629001089,13444.9466041258,9862.9211582870,3186.7872279248,187.6700824012,11438.9337417053,1
196,44,11,255.2696078431,647.0588235294,176.4705882353,27.3692810458,15850.4241157247,41023.8850442138,10380.6228373702,1430.2391708317,203.4173822853,12447.1836900310,1
511,68,30,140.3193782600,274.1703238091,95.9001782531,82.0697167756,8702.9386102957,17249.5356982575,5952.2071400807,4841.0593503923,108.3372313628,7064.3610969129,1
665,71,36,117.9930293796,221.6999058577,113.2798573975,40.4526029526,7025.5880073040,13016.9522563383,6743.1159926835,2594.0754105818,80.6068141937,4721.3438901903,1
781,55,39,64.9289898568,127.6761143054,50.1763668430,27.7559867314,4220.8160037460,7866.7547141926,3954.9098102890,1544.2528207140,62.1273764956,4644.9732544881,0
636,113,20,333.8865578549,831.6334135994,181.7946623094,43.8793572985,19610.7428476347,48603.9211184648,11089.4970506358,2407.2675150761,407.0829065373,22397.9651967527,0
1900,225,68,192.4797172265,400.2153891860,141.5761719361,44.3966686133,11661.0751507250,24374.6001198063,8508.0526425128,2630.6215603435,196.9936725132,12172.4377521183,0
841,152,41,208.1019832175,499.8761042879,105.3064582476,35.1312319800,13763.8849124152,33323.1969887000,6289.1555597595,2738.0625666642,256.2183315361,18349.9797502009,0
1086,231,35,398.8060147163,830.7410052295,377.9411764706,23.9909546959,24705.9104204543,51963.4363385194,22846.6214917339,1553.6652875145,533.0377972687,36226.0933648062,1
502,58,27,79.9978753286,192.7324717766,43.5842445953,23.6763784461,4768.1992778257,11536.0148739766,2602.6320244076,1358.0007545493,83.6218069614,5211.9698389558,0
1038,100,52,113.6015579262,279.5885330396,46.0880430604,15.1280976787,7430.8514493764,18861.3490451655,2781.4803192839,649.7249836798,149.7862127692,12097.6976723698,1
533,126,31,65.7399124524,109.8681139122,53.5702614379,33.7813620072,4470.7657969067,6379.1219783120,5057.9751644667,1975.2002479413,59.4039428977,5464.0850083840,0
632,200,35,146.3458964597,297.8062357319,114.8342670401,39.7013590125,9110.6268413784,18142.6830824150,7282.7603882710,2734.6758572109,172.6426399344,10656.8858819299,0
554,98,26,237.3962506053,644.9098389356,70.5864397041,26.3670045018,14105.5007695979,38152.7504281942,4481.3878549318,1445.5516218676,339.1637250505,20269.7658300685,1
929,105,44,210.9917001665,415.8235555294,211.1660892427,21.0562914537,13021.1028748350,26440.0847282589,12561.4363277327,991.8663452873,178.7069692222,11520.0476679375,0
1197,138,65,126.5862465840,302.9567382509,53.6447912498,29.1851267552,7810.3875529747,18961.6198694438,3194.7827761668,1646.6832301218,165.2470470297,10462.8087683558,1
870,152,40,217.4305890585,551.7174427591,66.6246593104,33.9496651060,13098.8624769675,32702.9202155843,3937.9855148836,2655.6817004346,339.7754488170,20825.1916063097,1
788,153,26,388.6726659993,1084.2728758170,98.6629550145,31.6662504163,24640.8438755028,69423.0617764535,5687.0372164613,1892.5381180314,465.1537926931,29165.4255164093,1
1110,156,41,227.3165502426,474.9245852187,189.7580332178,34.7529207714,13792.8143813268,29474.5210175573,11294.7469170850,1670.1609309786,201.9706353783,12596.7190776862,1
642,74,33,139.1070377743,338.2352941176,78.7915107768,28.1157159834,9029.7327930057,21882.4410483147,5414.7838212556,1597.9200680479,128.4569286716,9233.6071963704,1
902,42,52,143.3538420256,312.2452902730,85.7083926665,32.1078431373,8643.5921901329,18909.4959078082,5066.2833859022,1954.9972766885,161.7458020576,10009.2689788816,0
630,58,27,125.2042710376,292.2896241830,85.4152077498,29.2090489394,7545.7179420575,17594.5291140694,5399.3184453792,1529.7357522383,126.5588687046,7727.3053759320,1
630,120,36,218.4598751781,505.2287581699,103.1417112299,86.7291334397,15236.5907805255,37101.0809750718,6175.3801713793,5203.6004279483,283.7340153102,26287.9739987608,1
356,128,21,409.7060973512,998.1617647059,219.6350762527,147.8901502121,32619.5857533028,87093.1552768166,13181.6399853333,8457.1572488594,403.3272563036,53534.8065141926,1
490,126,25,308.6241683846,796.1995214753,79.9789467069,49.6940369715,19300.6673343520,50043.9501951380,4947.2197146365,2910.8320932815,381.1173614923,24827.1749489097,1
467,97,26,213.4674140789,417.0018196673,165.8007610939,84.2830882353,12548.9048379097,23978.2900455990,10054.4079953023,5182.6295775663,166.3314563508,8874.6517539909,1
754,224,44,312.6630160261,625.8461718021,222.5556889422,111.9202599072,19725.2770634037,40541.0812881798,13403.8715081426,6639.8267555604,275.6337924461,18978.0824195433,1
1463,133,62,124.7422729012,284.9052287582,70.3521935090,25.2065100815,7426.8825835741,17250.6887079451,4124.1938214419,1277.1093505139,127.1449709368,7794.2197078613,1
502,82,29,167.0198781267,328.0142758858,118.6002178649,73.0029048657,9954.0069322106,19543.5464421628,7043.6205982030,4380.8545265117,133.4096382149,8002.8755621130,1
615,40,18,141.0045302286,315.5291603821,109.4397759104,54.4464664847,9606.7556277835,19547.8514101945,8882.6785616207,4232.4391626488,117.2573794783,8108.9965737962,1
753,48,41,144.9916931341,351.0504933330,64.4793606582,30.5984325752,8617.4435767678,20714.7043784917,3908.0559377373,1892.4506892105,170.0552177926,9984.0691752644,0
1147,111,48,134.6348468419,373.0263075991,31.3769652005,17.4525806385,8125.2613096144,22954.4437222462,1728.4583026649,776.2500785473,237.9622306377,15272.7531803342,0
869,145,42,129.8801875374,292.7036199095,69.4970062617,47.4215037545,8156.0817134585,17443.7115532488,5415.7663389799,2863.5490502175,132.8329333581,8591.8658108659,0
585,102,30,206.7233636439,477.7021424854,119.8257080610,68.5807656396,13402.2370202997,31707.4214353906,7192.3013940507,4285.2631248578,197.2961492205,13361.4952800386,0
639,172,25,242.9978777026,510.6827270382,155.1266339869,63.1842720826,14422.0169782033,30329.0142572371,9183.9593612500,3753.0773161230,199.8314872995,12114.5339648269,0
420,58,26,135.0716251413,206.1610060691,90.1718911249,125.7659313725,8061.3062421361,12272.3442079719,5456.3504276602,7462.8873710432,94.9703109264,5767.2766121911,1
884,87,42,140.1845875371,297.3039215686,116.1387631976,28.6779374661,8582.2089682105,18454.1155891718,7030.7031812222,1582.1479755007,126.5752256732,8067.5062003843,0
992,238,45,410.9204018901,1099.0721288515,143.3133859604,49.0786054140,31765.8368072333,88238.2677335640,8569.3656457524,3027.8537291312,589.0488155544,72784.2110592867,1
2147,235,52,294.8052327000,739.2239872776,50.3162245290,94.8754862932,16985.8025315427,46432.6459412500,2960.3260466688,1564.4356067091,501.9209333152,31583.0396989639,1
2068,35,25,98.8677595859,221.3409567891,59.3341503268,15.9281716418,5293.5953455182,11527.1642142334,3524.9947269213,828.6270953999,131.1441396457,7163.4380509683,1
1631,195,92,126.0922587581,154.3591176912,157.3138114895,70.8069223856,7635.1167588298,9459.1857108798,9430.6664919316,4270.0019656389,69.5955316224,4418.6367443248,1
467,133,25,301.4892084679,709.2524509804,75.0816993464,120.1334750768,17859.0403056130,41990.9359781494,4524.5952411466,7061.5896975431,340.1262571441,19797.0124796520,1
715,152,31,288.6589989531,656.2069221628,108.5200746965,101.2500000000,17064.9723087768,38537.9290631024,6592.7517521170,6064.2361111111,342.2999601123,19628.0064214377,1
1054,214,49,178.2724657846,355.4074754902,160.0490196078,19.3609022556,10726.2801888337,21439.2613918525,9456.0464864118,1283.5326882369,196.0780343782,11983.1483064010,0
1366,119,51,156.9370688054,318.1189800482,137.6881061564,34.6212538121,9496.0828835632,19339.8949808101,8271.8751029000,2063.4889274250,173.7582305205,10818.1871338856,0
528,119,23,315.6602792632,853.9682539683,103.3730158730,34.7338935574,20231.9296021538,55203.5923301783,6264.6053791887,2117.8667545450,383.3968728369,24989.2818302507,1
715,137,32,239.2263713224,676.9082633053,34.6213200380,30.0721677560,14474.9782976602,41196.5838214371,2087.0887281985,1588.7601731112,342.9662138791,21330.0973748746,1
944,181,52,216.4860251884,488.8871413093,109.6549404075,50.9159938485,13434.0147262673,30438.3832376858,6626.3780678874,3237.2828732288,218.2312806073,13751.6424476470,1
803,39,42,56.2886470183,89.1151332328,48.6448425524,39.7657571187,3891.1669541578,5663.9704650085,3726.0149581118,2882.1565092235,54.8930749788,4468.3559588673,1
1022,78,49,124.3957216845,275.1444327731,65.7753912969,32.2673409836,7787.1097365830,16614.6306868336,3839.5960613683,2907.1024615471,121.4332415620,7988.3358837569,0
482,128,25,298.3916750461,720.5882352941,126.1799270990,48.4068627451,17925.0541547599,43456.1998819136,7452.7272401900,2866.2353421761,305.5234900578,18161.2979805914,1
791,148,42,216.8855065187,577.1845148316,70.4185520362,36.4204536913,14936.1668480408,39250.3592881765,4902.3073595954,2953.7057191260,318.4244184175,23737.6641299355,1
628,94,29,190.3995031075,505.3104575163,66.6152497986,20.4283023528,11795.7726043854,31826.2006600026,3863.4500944957,1008.3084591453,241.1530938002,15238.4413302910,1
1191,150,59,151.0683937101,353.1186712912,73.7791448318,34.2583330973,9717.8710043463,22666.8966076940,4258.4851872861,2739.6981130245,158.7046329355,10841.3797660049,1
758,132,30,292.0058194101,742.3961840629,160.3576615832,38.1537946755,17351.7188350631,44122.3657566622,9385.2087100878,2403.5195573424,354.0126053529,21175.0669262296,1
785,40,33,64.6270811348,169.7419629734,14.5557604235,22.5089362344,3702.2727115828,10002.8805073290,629.1399663338,1215.2522034021,85.6786495757,5114.8343994206,1
